code,name,section,date,open,high,low,close
A049430,코메론,KOSDAQ,201602,8018,8204,7927,8089
A049430,코메론,KOSDAQ,201603,9048,9250,8910,9044
A049430,코메론,KOSDAQ,201604,9584,9716,9465,9591
A049430,코메론,KOSDAQ,201605,9845,9970,9717,9822
A049430,코메론,KOSDAQ,201606,9376,9466,9239,9339
A049430,코메론,KOSDAQ,201607,9184,9253,9071,9162
A049430,코메론,KOSDAQ,201608,9340,9503,9234,9357
A049430,코메론,KOSDAQ,201609,9736,9837,9597,9707
A049430,코메론,KOSDAQ,201610,9582,9651,9466,9558
A049430,코메론,KOSDAQ,201611,10596,10950,10377,10660
A049430,코메론,KOSDAQ,201612,12132,12365,11880,12125
A049430,코메론,KOSDAQ,201701,11884,12092,11655,11865
A049430,코메론,KOSDAQ,201702,11944,12107,11713,11897
A049430,코메론,KOSDAQ,201703,11254,11435,11009,11214
A049430,코메론,KOSDAQ,201704,10839,11018,10675,10815
A049430,코메론,KOSDAQ,201705,10543,10655,10352,10498
A049430,코메론,KOSDAQ,201706,10658,10753,10483,10639
A049430,코메론,KOSDAQ,201707,10493,10535,10329,10432
A049430,코메론,KOSDAQ,201708,10560,10720,10380,10580
A049430,코메론,KOSDAQ,201709,10417,10495,10279,10357
A049430,코메론,KOSDAQ,201710,10134,10250,10013,10161
A049430,코메론,KOSDAQ,201711,9946,9993,9796,9902
A049430,코메론,KOSDAQ,201712,9777,9850,9700,9800
A049430,코메론,KOSDAQ,201801,9864,9928,9745,9848
A049430,코메론,KOSDAQ,201802,9761,9814,9622,9708
A049430,코메론,KOSDAQ,201803,9255,9313,9159,9243
A049430,코메론,KOSDAQ,201804,8857,8957,8748,8861
A049430,코메론,KOSDAQ,201805,9321,9422,9224,9354
A049430,코메론,KOSDAQ,201806,9228,9310,9070,9221
A049430,코메론,KOSDAQ,201807,8834,8883,8681,8831
A049430,코메론,KOSDAQ,201808,8544,8584,8418,8512
A049430,코메론,KOSDAQ,201809,8041,8143,7919,8053
A049430,코메론,KOSDAQ,201810,8037,8153,7906,8055
A049430,코메론,KOSDAQ,201811,7579,7650,7433,7575
A049430,코메론,KOSDAQ,201812,7808,7895,7735,7840
A049430,코메론,KOSDAQ,201901,8170,8232,8080,8185
A049430,코메론,KOSDAQ,201902,8501,8581,8391,8502
A049430,코메론,KOSDAQ,201903,8462,8502,8342,8439
A049430,코메론,KOSDAQ,201904,8508,8544,8416,8483
A049430,코메론,KOSDAQ,201905,8370,8504,8262,8341
A049430,코메론,KOSDAQ,201906,8270,8321,8175,8270
A049430,코메론,KOSDAQ,201907,7957,8025,7861,7959
A049430,코메론,KOSDAQ,201908,8009,8103,7913,8040
A049430,코메론,KOSDAQ,201909,8344,8400,8258,8348
A049430,코메론,KOSDAQ,201910,8398,8464,8315,8409
A049430,코메론,KOSDAQ,201911,8435,8503,8340,8414
A049430,코메론,KOSDAQ,201912,8494,8599,8436,8538
A049430,코메론,KOSDAQ,202001,8736,8777,8610,8705
A049430,코메론,KOSDAQ,202002,8424,8499,8323,8424
A049430,코메론,KOSDAQ,202003,7617,7834,7402,7621
A049430,코메론,KOSDAQ,202004,7624,7733,7494,7618
A049430,코메론,KOSDAQ,202005,7946,8012,7846,7928
A049430,코메론,KOSDAQ,202006,8221,8341,8112,8235
A049430,코메론,KOSDAQ,202007,9132,9360,8935,9113
A049430,코메론,KOSDAQ,202008,9043,9156,8875,9018
A049430,코메론,KOSDAQ,202009,9520,9725,9303,9521
A049430,코메론,KOSDAQ,202010,9382,9499,9219,9370
A049430,코메론,KOSDAQ,202011,9079,9179,8982,9076
A049430,코메론,KOSDAQ,202012,9304,9421,9196,9306
A049430,코메론,KOSDAQ,202101,9605,9762,9452,9567
A049430,코메론,KOSDAQ,202102,9539,9615,9430,9534
A049430,코메론,KOSDAQ,202103,9583,9718,9494,9631
A049430,코메론,KOSDAQ,202104,11757,12200,11498,11900
A049430,코메론,KOSDAQ,202105,13969,14686,13575,14113
A049430,코메론,KOSDAQ,202106,17035,17766,16466,17197
A049430,코메론,KOSDAQ,202107,16242,16647,15771,16169
A049430,코메론,KOSDAQ,202108,14290,14510,13990,14350
A049470,SGA,KOSDAQ,201602,2674,2744,2602,2668
A049470,SGA,KOSDAQ,201603,2823,2876,2761,2798
A049470,SGA,KOSDAQ,201604,2686,2765,2641,2692
A049470,SGA,KOSDAQ,201605,3114,3231,3022,3097
A049470,SGA,KOSDAQ,201606,3014,3081,2927,2978
A049470,SGA,KOSDAQ,201607,3131,3194,3068,3112
A049470,SGA,KOSDAQ,201608,2955,2998,2912,2934
A049470,SGA,KOSDAQ,201609,2674,2717,2640,2667
A049470,SGA,KOSDAQ,201610,2568,2616,2527,2553
A049470,SGA,KOSDAQ,201611,2337,2398,2300,2338
A049470,SGA,KOSDAQ,201612,2514,2577,2475,2509
A049470,SGA,KOSDAQ,201701,2623,2671,2590,2610
A049470,SGA,KOSDAQ,201702,2465,2497,2428,2458
A049470,SGA,KOSDAQ,201703,2513,2585,2478,2514
A049470,SGA,KOSDAQ,201704,2520,2564,2467,2496
A049470,SGA,KOSDAQ,201705,2447,2468,2411,2428
A049470,SGA,KOSDAQ,201706,2284,2311,2256,2273
A049470,SGA,KOSDAQ,201707,2240,2264,2214,2235
A049470,SGA,KOSDAQ,201708,2140,2174,2126,2146
A049470,SGA,KOSDAQ,201709,2118,2155,2083,2103
A049470,SGA,KOSDAQ,201710,1893,1917,1874,1891
A049470,SGA,KOSDAQ,201711,1872,1893,1854,1870
A049470,SGA,KOSDAQ,201712,1966,2042,1913,1956
A049470,SGA,KOSDAQ,201801,2109,2198,2063,2112
A049470,SGA,KOSDAQ,201802,2239,2325,2188,2228
A049470,SGA,KOSDAQ,201803,1908,1933,1878,1898
A049470,SGA,KOSDAQ,201804,1808,1838,1791,1814
A049470,SGA,KOSDAQ,201805,1805,1828,1778,1794
A049470,SGA,KOSDAQ,201806,1662,1693,1643,1661
A049470,SGA,KOSDAQ,201807,1562,1584,1542,1555
A049470,SGA,KOSDAQ,201808,1489,1508,1474,1488
A049470,SGA,KOSDAQ,201809,1469,1482,1451,1462
A049470,SGA,KOSDAQ,201810,1213,1263,1177,1226
A049470,SGA,KOSDAQ,201811,1061,1085,1049,1063
A049470,SGA,KOSDAQ,201812,1121,1141,1101,1124
A049470,SGA,KOSDAQ,201901,1197,1210,1179,1195
A049470,SGA,KOSDAQ,201902,1180,1197,1155,1174
A049470,SGA,KOSDAQ,201903,1097,1114,1079,1096
A049470,SGA,KOSDAQ,201904,1103,1111,1090,1102
A049470,SGA,KOSDAQ,201905,1088,1105,1071,1087
A049470,SGA,KOSDAQ,201906,1079,1096,1060,1072
A049470,SGA,KOSDAQ,201907,1013,1021,995,1005
A049470,SGA,KOSDAQ,201908,793,804,777,787
A049470,SGA,KOSDAQ,201909,815,841,798,815
A049470,SGA,KOSDAQ,201910,797,810,782,793
A049470,SGA,KOSDAQ,201911,750,758,740,748
A049470,SGA,KOSDAQ,201912,720,725,710,719
A049470,SGA,KOSDAQ,202001,727,744,716,730
A049470,SGA,KOSDAQ,202002,739,752,728,737
A049470,SGA,KOSDAQ,202003,496,522,475,496
A049470,SGA,KOSDAQ,202004,560,578,544,565
A049470,SGA,KOSDAQ,202005,681,715,662,689
A049470,SGA,KOSDAQ,202006,716,729,694,707
A049470,SGA,KOSDAQ,202007,647,660,634,644
A049470,SGA,KOSDAQ,202008,598,606,584,594
A049470,SGA,KOSDAQ,202009,625,640,612,626
A049470,SGA,KOSDAQ,202010,640,648,626,637
A049470,SGA,KOSDAQ,202011,664,680,653,666
A049470,SGA,KOSDAQ,202012,926,978,896,932
A049470,SGA,KOSDAQ,202101,891,909,868,886
A049470,SGA,KOSDAQ,202102,883,922,856,883
A049470,SGA,KOSDAQ,202103,996,1020,970,991
A049470,SGA,KOSDAQ,202104,1150,1180,1119,1153
A049470,SGA,KOSDAQ,202105,1086,1101,1065,1080
A049470,SGA,KOSDAQ,202106,1350,1425,1296,1364
A049470,SGA,KOSDAQ,202107,1446,1484,1414,1448
A049470,SGA,KOSDAQ,202108,1423,1462,1393,1436
A049480,오픈베이스,KOSDAQ,201602,2256,2323,2204,2245
A049480,오픈베이스,KOSDAQ,201603,2988,3257,2890,3070
A049480,오픈베이스,KOSDAQ,201604,3780,3958,3612,3730
A049480,오픈베이스,KOSDAQ,201605,3975,4100,3868,3941
A049480,오픈베이스,KOSDAQ,201606,4724,4996,4570,4739
A049480,오픈베이스,KOSDAQ,201607,5247,5414,5132,5247
A049480,오픈베이스,KOSDAQ,201608,4840,4918,4744,4777
A049480,오픈베이스,KOSDAQ,201609,4298,4458,4233,4299
A049480,오픈베이스,KOSDAQ,201610,4235,4340,4129,4173
A049480,오픈베이스,KOSDAQ,201611,3660,3775,3570,3637
A049480,오픈베이스,KOSDAQ,201612,3552,3664,3502,3562
A049480,오픈베이스,KOSDAQ,201701,4106,4208,4031,4096
A049480,오픈베이스,KOSDAQ,201702,4209,4282,4124,4181
A049480,오픈베이스,KOSDAQ,201703,4595,4827,4490,4665
A049480,오픈베이스,KOSDAQ,201704,5229,5348,4941,5075
A049480,오픈베이스,KOSDAQ,201705,4539,4643,4426,4540
A049480,오픈베이스,KOSDAQ,201706,4567,4658,4501,4546
A049480,오픈베이스,KOSDAQ,201707,4577,4665,4514,4583
A049480,오픈베이스,KOSDAQ,201708,4357,4465,4269,4312
A049480,오픈베이스,KOSDAQ,201709,3753,3828,3691,3727
A049480,오픈베이스,KOSDAQ,201710,3520,3619,3470,3514
A049480,오픈베이스,KOSDAQ,201711,3540,3609,3492,3526
A049480,오픈베이스,KOSDAQ,201712,3734,3862,3656,3731
A049480,오픈베이스,KOSDAQ,201801,3960,4097,3880,3965
A049480,오픈베이스,KOSDAQ,201802,3979,4077,3897,3962
A049480,오픈베이스,KOSDAQ,201803,3989,4067,3915,3975
A049480,오픈베이스,KOSDAQ,201804,3670,3709,3591,3639
A049480,오픈베이스,KOSDAQ,201805,3321,3386,3272,3300
A049480,오픈베이스,KOSDAQ,201806,2932,3030,2864,2921
A049480,오픈베이스,KOSDAQ,201807,2566,2669,2528,2585
A049480,오픈베이스,KOSDAQ,201808,3022,3159,2970,3038
A049480,오픈베이스,KOSDAQ,201809,3106,3154,3044,3072
A049480,오픈베이스,KOSDAQ,201810,2342,2427,2275,2325
A049480,오픈베이스,KOSDAQ,201811,2170,2248,2124,2172
A049480,오픈베이스,KOSDAQ,201812,2297,2369,2253,2297
A049480,오픈베이스,KOSDAQ,201901,2426,2491,2384,2425
A049480,오픈베이스,KOSDAQ,201902,2654,2728,2602,2645
A049480,오픈베이스,KOSDAQ,201903,2538,2598,2496,2526
A049480,오픈베이스,KOSDAQ,201904,2702,2789,2660,2712
A049480,오픈베이스,KOSDAQ,201905,2720,2809,2665,2711
A049480,오픈베이스,KOSDAQ,201906,3329,3469,3206,3328
A049480,오픈베이스,KOSDAQ,201907,3141,3265,3038,3110
A049480,오픈베이스,KOSDAQ,201908,2674,2771,2618,2674
A049480,오픈베이스,KOSDAQ,201909,3225,3367,3166,3262
A049480,오픈베이스,KOSDAQ,201910,3301,3397,3224,3297
A049480,오픈베이스,KOSDAQ,201911,3397,3488,3322,3387
A049480,오픈베이스,KOSDAQ,201912,3394,3491,3310,3394
A049480,오픈베이스,KOSDAQ,202001,3637,3757,3542,3611
A049480,오픈베이스,KOSDAQ,202002,3441,3507,3371,3435
A049480,오픈베이스,KOSDAQ,202003,2354,2455,2244,2343
A049480,오픈베이스,KOSDAQ,202004,2742,2838,2635,2738
A049480,오픈베이스,KOSDAQ,202005,3676,3868,3575,3681
A049480,오픈베이스,KOSDAQ,202006,3430,3516,3354,3409
A049480,오픈베이스,KOSDAQ,202007,3542,3652,3463,3541
A049480,오픈베이스,KOSDAQ,202008,3313,3368,3230,3284
A049480,오픈베이스,KOSDAQ,202009,3363,3487,3310,3379
A049480,오픈베이스,KOSDAQ,202010,3478,3596,3398,3494
A049480,오픈베이스,KOSDAQ,202011,3604,3678,3551,3598
A049480,오픈베이스,KOSDAQ,202012,3481,3531,3430,3462
A049480,오픈베이스,KOSDAQ,202101,3447,3509,3388,3438
A049480,오픈베이스,KOSDAQ,202102,3299,3359,3262,3303
A049480,오픈베이스,KOSDAQ,202103,3117,3150,3083,3113
A049480,오픈베이스,KOSDAQ,202104,3176,3214,3148,3175
A049480,오픈베이스,KOSDAQ,202105,3120,3176,3095,3126
A049480,오픈베이스,KOSDAQ,202106,4449,4739,4260,4467
A049480,오픈베이스,KOSDAQ,202107,6806,7176,6532,6847
A049480,오픈베이스,KOSDAQ,202108,5572,5696,5324,5452
A049520,유아이엘,KOSDAQ,201602,5907,6007,5788,5929
A049520,유아이엘,KOSDAQ,201603,6218,6302,6121,6227
A049520,유아이엘,KOSDAQ,201604,6430,6493,6334,6417
A049520,유아이엘,KOSDAQ,201605,5691,5745,5576,5658
A049520,유아이엘,KOSDAQ,201606,5223,5249,5132,5193
A049520,유아이엘,KOSDAQ,201607,5335,5394,5272,5356
A049520,유아이엘,KOSDAQ,201608,5999,6117,5882,6018
A049520,유아이엘,KOSDAQ,201609,6010,6076,5926,6014
A049520,유아이엘,KOSDAQ,201610,5934,6000,5851,5921
A049520,유아이엘,KOSDAQ,201611,5607,5693,5480,5587
A049520,유아이엘,KOSDAQ,201612,5626,5705,5554,5635
A049520,유아이엘,KOSDAQ,201701,5274,5337,5203,5268
A049520,유아이엘,KOSDAQ,201702,5686,5761,5607,5700
A049520,유아이엘,KOSDAQ,201703,5660,5725,5607,5663
A049520,유아이엘,KOSDAQ,201704,6131,6207,6070,6143
A049520,유아이엘,KOSDAQ,201705,6634,6743,6572,6655
A049520,유아이엘,KOSDAQ,201706,7282,7398,7200,7290
A049520,유아이엘,KOSDAQ,201707,7719,7875,7535,7671
A049520,유아이엘,KOSDAQ,201708,7800,7939,7678,7847
A049520,유아이엘,KOSDAQ,201709,8301,8457,8178,8311
A049520,유아이엘,KOSDAQ,201710,7995,8059,7849,7943
A049520,유아이엘,KOSDAQ,201711,7430,7511,7306,7417
A049520,유아이엘,KOSDAQ,201712,7413,7468,7290,7378
A049520,유아이엘,KOSDAQ,201801,6572,6663,6461,6569
A049520,유아이엘,KOSDAQ,201802,7212,7294,7138,7247
A049520,유아이엘,KOSDAQ,201803,7047,7067,6942,7009
A049520,유아이엘,KOSDAQ,201804,6524,6575,6455,6517
A049520,유아이엘,KOSDAQ,201805,6765,6845,6643,6763
A049520,유아이엘,KOSDAQ,201806,6617,6654,6525,6589
A049520,유아이엘,KOSDAQ,201807,5934,5980,5848,5932
A049520,유아이엘,KOSDAQ,201808,5718,5756,5647,5708
A049520,유아이엘,KOSDAQ,201809,5520,5555,5475,5521
A049520,유아이엘,KOSDAQ,201810,4850,4935,4772,4844
A049520,유아이엘,KOSDAQ,201811,4761,4812,4701,4771
A049520,유아이엘,KOSDAQ,201812,4950,5000,4863,4935
A049520,유아이엘,KOSDAQ,201901,4702,4837,4618,4696
A049520,유아이엘,KOSDAQ,201902,5400,5511,5293,5377
A049520,유아이엘,KOSDAQ,201903,5528,5591,5426,5518
A049520,유아이엘,KOSDAQ,201904,5639,5692,5580,5643
A049520,유아이엘,KOSDAQ,201905,5259,5327,5172,5251
A049520,유아이엘,KOSDAQ,201906,5554,5597,5486,5557
A049520,유아이엘,KOSDAQ,201907,5228,5265,5148,5222
A049520,유아이엘,KOSDAQ,201908,5082,5114,5014,5073
A049520,유아이엘,KOSDAQ,201909,5301,5339,5267,5314
A049520,유아이엘,KOSDAQ,201910,5468,5495,5390,5446
A049520,유아이엘,KOSDAQ,201911,5478,5516,5432,5479
A049520,유아이엘,KOSDAQ,201912,5540,5581,5494,5544
A049520,유아이엘,KOSDAQ,202001,5251,5281,5173,5209
A049520,유아이엘,KOSDAQ,202002,5051,5116,4997,5051
A049520,유아이엘,KOSDAQ,202003,4274,4383,4176,4271
A049520,유아이엘,KOSDAQ,202004,4320,4387,4256,4341
A049520,유아이엘,KOSDAQ,202005,4457,4493,4402,4457
A049520,유아이엘,KOSDAQ,202006,4411,4480,4329,4386
A049520,유아이엘,KOSDAQ,202007,4277,4316,4238,4274
A049520,유아이엘,KOSDAQ,202008,4198,4226,4136,4170
A049520,유아이엘,KOSDAQ,202009,4016,4055,3955,4003
A049520,유아이엘,KOSDAQ,202010,4056,4108,3998,4046
A049520,유아이엘,KOSDAQ,202011,4066,4123,4019,4055
A049520,유아이엘,KOSDAQ,202012,4164,4201,4119,4159
A049520,유아이엘,KOSDAQ,202101,4113,4160,4065,4105
A049520,유아이엘,KOSDAQ,202102,4040,4056,4001,4027
A049520,유아이엘,KOSDAQ,202103,3947,4013,3869,3934
A049520,유아이엘,KOSDAQ,202104,4375,4414,4298,4347
A049520,유아이엘,KOSDAQ,202105,4136,4168,4079,4112
A049520,유아이엘,KOSDAQ,202106,4283,4343,4215,4284
A049520,유아이엘,KOSDAQ,202107,4391,4472,4300,4364
A049520,유아이엘,KOSDAQ,202108,3939,3966,3897,3939
A049550,잉크테크,KOSDAQ,201602,5630,5834,5469,5612
A049550,잉크테크,KOSDAQ,201603,6258,6577,6125,6319
A049550,잉크테크,KOSDAQ,201604,7979,8209,7787,7940
A049550,잉크테크,KOSDAQ,201605,7238,7417,7011,7184
A049550,잉크테크,KOSDAQ,201606,7091,7262,6901,7109
A049550,잉크테크,KOSDAQ,201607,8365,8700,8215,8511
A049550,잉크테크,KOSDAQ,201608,10539,10812,10161,10520
A049550,잉크테크,KOSDAQ,201609,9710,9983,9532,9791
A049550,잉크테크,KOSDAQ,201610,10133,10307,9902,10091
A049550,잉크테크,KOSDAQ,201611,7972,8170,7676,7893
A049550,잉크테크,KOSDAQ,201612,7027,7153,6820,7002
A049550,잉크테크,KOSDAQ,201701,7292,7443,7157,7297
A049550,잉크테크,KOSDAQ,201702,7712,7835,7527,7699
A049550,잉크테크,KOSDAQ,201703,7377,7453,7209,7323
A049550,잉크테크,KOSDAQ,201704,6480,6573,6352,6443
A049550,잉크테크,KOSDAQ,201705,6031,6089,5878,5957
A049550,잉크테크,KOSDAQ,201706,5505,5554,5384,5451
A049550,잉크테크,KOSDAQ,201707,5358,5493,5251,5341
A049550,잉크테크,KOSDAQ,201708,4872,4976,4698,4832
A049550,잉크테크,KOSDAQ,201709,4415,4579,4298,4394
A049550,잉크테크,KOSDAQ,201710,4139,4196,4001,4088
A049550,잉크테크,KOSDAQ,201711,3960,4111,3844,3969
A049550,잉크테크,KOSDAQ,201712,3873,3960,3766,3856
A049550,잉크테크,KOSDAQ,201801,3664,3747,3590,3677
A049550,잉크테크,KOSDAQ,201802,3649,3705,3549,3645
A049550,잉크테크,KOSDAQ,201803,3967,4068,3879,4000
A049550,잉크테크,KOSDAQ,201804,4397,4507,4317,4441
A049550,잉크테크,KOSDAQ,201805,4524,4555,4368,4471
A049550,잉크테크,KOSDAQ,201806,4176,4250,4063,4151
A049550,잉크테크,KOSDAQ,201807,3807,3830,3694,3767
A049550,잉크테크,KOSDAQ,201808,3634,3658,3532,3595
A049550,잉크테크,KOSDAQ,201809,3500,3560,3433,3504
A049550,잉크테크,KOSDAQ,201810,3267,3342,3171,3289
A049550,잉크테크,KOSDAQ,201811,3464,3517,3388,3473
A049550,잉크테크,KOSDAQ,201812,3116,3146,3031,3079
A049550,잉크테크,KOSDAQ,201901,3043,3099,2965,3055
A049550,잉크테크,KOSDAQ,201902,3364,3412,3283,3362
A049550,잉크테크,KOSDAQ,201903,3339,3390,3272,3346
A049550,잉크테크,KOSDAQ,201904,3478,3567,3420,3507
A049550,잉크테크,KOSDAQ,201905,4049,4194,3905,4037
A049550,잉크테크,KOSDAQ,201906,4155,4330,4038,4182
A049550,잉크테크,KOSDAQ,201907,4586,4784,4407,4593
A049550,잉크테크,KOSDAQ,201908,4032,4137,3897,4003
A049550,잉크테크,KOSDAQ,201909,4213,4300,4121,4226
A049550,잉크테크,KOSDAQ,201910,4332,4430,4234,4333
