code,name,section,date,open,high,low,close
A000020,동화약품,KOSPI,201602,8941,9106,8698,8814
A000020,동화약품,KOSPI,201603,8472,8583,8369,8477
A000020,동화약품,KOSPI,201604,9473,9677,9328,9508
A000020,동화약품,KOSPI,201605,10545,10921,10269,10560
A000020,동화약품,KOSPI,201606,10760,11044,10456,10715
A000020,동화약품,KOSPI,201607,10790,10930,10574,10714
A000020,동화약품,KOSPI,201608,9891,10015,9703,9809
A000020,동화약품,KOSPI,201609,9645,9817,9532,9679
A000020,동화약품,KOSPI,201610,8983,9069,8832,8911
A000020,동화약품,KOSPI,201611,8185,8309,8049,8176
A000020,동화약품,KOSPI,201612,8173,8269,8086,8192
A000020,동화약품,KOSPI,201701,8528,8625,8425,8515
A000020,동화약품,KOSPI,201702,8928,9077,8833,8943
A000020,동화약품,KOSPI,201703,9409,9523,9304,9415
A000020,동화약품,KOSPI,201704,9825,9917,9717,9815
A000020,동화약품,KOSPI,201705,9470,9549,9370,9444
A000020,동화약품,KOSPI,201706,9230,9295,9113,9198
A000020,동화약품,KOSPI,201707,8647,8720,8541,8629
A000020,동화약품,KOSPI,201708,8979,9078,8889,9000
A000020,동화약품,KOSPI,201709,9245,9353,9143,9218
A000020,동화약품,KOSPI,201710,9676,9783,9562,9675
A000020,동화약품,KOSPI,201711,10854,11104,10654,10910
A000020,동화약품,KOSPI,201712,10409,10530,10222,10342
A000020,동화약품,KOSPI,201801,10708,10942,10551,10737
A000020,동화약품,KOSPI,201802,11630,12123,11354,11670
A000020,동화약품,KOSPI,201803,12477,12792,12270,12495
A000020,동화약품,KOSPI,201804,12992,13202,12652,12925
A000020,동화약품,KOSPI,201805,11900,12102,11713,11923
A000020,동화약품,KOSPI,201806,11944,12133,11677,11883
A000020,동화약품,KOSPI,201807,11070,11333,10877,11082
A000020,동화약품,KOSPI,201808,11950,12190,11759,11990
A000020,동화약품,KOSPI,201809,12037,12165,11846,12015
A000020,동화약품,KOSPI,201810,10074,10351,9814,10018
A000020,동화약품,KOSPI,201811,9939,10140,9762,9939
A000020,동화약품,KOSPI,201812,9810,10000,9661,9811
A000020,동화약품,KOSPI,201901,10053,10188,9943,10071
A000020,동화약품,KOSPI,201902,10511,10624,10412,10505
A000020,동화약품,KOSPI,201903,10392,10474,10250,10349
A000020,동화약품,KOSPI,201904,10110,10202,10002,10108
A000020,동화약품,KOSPI,201905,10049,10144,9906,10007
A000020,동화약품,KOSPI,201906,10163,10304,10051,10187
A000020,동화약품,KOSPI,201907,9999,10082,9800,9933
A000020,동화약품,KOSPI,201908,9179,9401,8917,9192
A000020,동화약품,KOSPI,201909,8588,8707,8457,8553
A000020,동화약품,KOSPI,201910,8290,8408,8157,8270
A000020,동화약품,KOSPI,201911,8584,8704,8478,8603
A000020,동화약품,KOSPI,201912,8403,8538,8285,8395
A000020,동화약품,KOSPI,202001,8647,8751,8500,8593
A000020,동화약품,KOSPI,202002,7831,7930,7682,7784
A000020,동화약품,KOSPI,202003,6490,6716,6310,6483
A000020,동화약품,KOSPI,202004,8973,9343,8668,9047
A000020,동화약품,KOSPI,202005,11097,11436,10762,11081
A000020,동화약품,KOSPI,202006,15869,16688,15211,15923
A000020,동화약품,KOSPI,202007,18856,19979,18238,19188
A000020,동화약품,KOSPI,202008,25971,27542,24815,25736
A000020,동화약품,KOSPI,202009,25762,26615,24807,25600
A000020,동화약품,KOSPI,202010,22547,23297,21686,22402
A000020,동화약품,KOSPI,202011,19952,20520,19250,19675
A000020,동화약품,KOSPI,202012,20752,21447,20050,20642
A000020,동화약품,KOSPI,202101,18800,19068,18252,18534
A000020,동화약품,KOSPI,202102,16232,16532,15879,16150
A000020,동화약품,KOSPI,202103,15183,15461,14871,15066
A000020,동화약품,KOSPI,202104,15976,16250,15735,15971
A000020,동화약품,KOSPI,202105,15641,15802,15388,15572
A000020,동화약품,KOSPI,202106,15595,15816,15411,15588
A000020,동화약품,KOSPI,202107,15828,15980,15583,15742
A000020,동화약품,KOSPI,202108,14970,15190,14790,15030
A000040,KR모터스,KOSPI,201602,7531,7696,7371,7531
A000040,KR모터스,KOSPI,201603,7271,7425,7177,7257
A000040,KR모터스,KOSPI,201604,7669,7807,7561,7667
A000040,KR모터스,KOSPI,201605,7358,7466,7220,7346
A000040,KR모터스,KOSPI,201606,7209,7388,7056,7233
A000040,KR모터스,KOSPI,201607,7612,7760,7478,7595
A000040,KR모터스,KOSPI,201608,7271,7410,7132,7231
A000040,KR모터스,KOSPI,201609,7000,7077,6909,6975
A000040,KR모터스,KOSPI,201610,6658,6742,6541,6603
A000040,KR모터스,KOSPI,201611,5788,5903,5639,5752
A000040,KR모터스,KOSPI,201612,5264,5386,5177,5311
A000040,KR모터스,KOSPI,201701,5601,5700,5486,5557
A000040,KR모터스,KOSPI,201702,5100,5212,4998,5093
A000040,KR모터스,KOSPI,201703,5035,5077,4978,5029
A000040,KR모터스,KOSPI,201704,4863,4895,4799,4829
A000040,KR모터스,KOSPI,201705,5329,5454,5260,5372
A000040,KR모터스,KOSPI,201706,5781,5890,5674,5795
